"Url","SiteSizeMB"
"https://groverale.sharepoint.com/teams/atempcommunity2a","Error - no files"
"https://groverale.sharepoint.com/teams/atempcommunity1a","Error - no files"
"https://groverale.sharepoint.com/teams/atempcommunity2b","Error - no files"
"https://groverale.sharepoint.com/teams/migtest1","36629.89"
"https://groverale.sharepoint.com/sites/apitest","11867.61"
"https://groverale.sharepoint.com/sites/migtest3","2029.03"
"https://groverale.sharepoint.com/sites/migtest1","2028.79"
"https://groverale.sharepoint.com/sites/migtest2","2028.77"
"https://groverale.sharepoint.com/sites/migtest8","2028.54"
"https://groverale.sharepoint.com/sites/migtest10","2028.52"
"https://groverale.sharepoint.com/sites/migtest7","2028.51"
"https://groverale.sharepoint.com/sites/migtest11","2028.36"
"https://groverale.sharepoint.com/sites/migtest6","2028.36"
"https://groverale.sharepoint.com/sites/migtest14","2028.36"
"https://groverale.sharepoint.com/sites/migtest13","2028.36"
"https://groverale.sharepoint.com/sites/migtest12","2028.36"
"https://groverale.sharepoint.com/sites/migtest16","2028.36"
"https://groverale.sharepoint.com/sites/migtest5","2028.36"
"https://groverale.sharepoint.com/sites/migtest15","2028.36"
"https://groverale.sharepoint.com/sites/migtest9","2028.36"
"https://groverale.sharepoint.com/sites/migtest4","2028.35"
"https://groverale.sharepoint.com/sites/Stream","1868.77"
"https://groverale.sharepoint.com/sites/itgroup","384.46"
"https://groverale.sharepoint.com/teams/TeraTest-0","309.68"
"https://groverale.sharepoint.com/sites/toomanylists","305.38"
"https://groverale.sharepoint.com/sites/home","164.83"
"https://groverale.sharepoint.com/teams/TeraTest-99","163.51"
"https://groverale.sharepoint.com/sites/metalogixmig","131.15"
"https://groverale.sharepoint.com/sites/pnp_starter_intranet","103.75"
"https://groverale.sharepoint.com/sites/hybridwork","78.34"
"https://groverale.sharepoint.com/sites/pnp_starter_intranet4","61"
"https://groverale.sharepoint.com/teams/ValidatorSite-0","55.91"
"https://groverale.sharepoint.com/sites/permission-pg","43.05"
"https://groverale.sharepoint.com/sites/Boardmiseter","42.66"
"https://groverale.sharepoint.com/sites/apps","42.23"
"https://groverale.sharepoint.com/sites/Adoptify2","36.2"
"https://groverale.sharepoint.com/teams/SP2010-Test-Data-CIOPMO","34.86"
"https://groverale.sharepoint.com/teams/SP2010-Test-Data-AISC","34.62"
"https://groverale.sharepoint.com/teams/SP2010-Test-Data-FCSO","34.52"
"https://groverale.sharepoint.com/teams/SP2010-Test-Data-Home","34.5"
"https://groverale.sharepoint.com/search","31.74"
"https://groverale.sharepoint.com/teams/proptest","29.62"
"https://groverale.sharepoint.com/sites/DevSite","22.67"
"https://groverale.sharepoint.com/sites/GrovealDigitial","20.3"
"https://groverale.sharepoint.com/teams/TeraTest-2","16.67"
"https://groverale.sharepoint.com/teams/TeraTest-1","16.62"
"https://groverale.sharepoint.com/sites/documentum5","16.57"
"https://groverale.sharepoint.com/teams/tempcollaboration2","16.52"
"https://groverale.sharepoint.com/sites/AllTheDrives","16.44"
"https://groverale.sharepoint.com/sites/firsthub","16.18"
"https://groverale.sharepoint.com/sites/collaboration","13.34"
"https://groverale.sharepoint.com/teams/atempproject1a","12.99"
"https://groverale.sharepoint.com/teams/atempproject2a","12.9"
"https://groverale.sharepoint.com/teams/atempprogramme2b","12.83"
"https://groverale.sharepoint.com/sites/contentTypeHub","11.98"
"https://groverale.sharepoint.com/sites/Adoptify","8.01"
"https://groverale.sharepoint.com/sites/ScreenSaverPA","7.78"
"https://groverale.sharepoint.com/sites/thefiles","7.49"
"https://groverale.sharepoint.com/sites/retention-pg","6.85"
"https://groverale.sharepoint.com/sites/ajw-group","6.35"
"https://groverale.sharepoint.com/sites/acrolinx","5.4"
